App,UTG,Type,Pipeline_Complete,Video_MB,Artifacts,UTG_Vertices,UTG_Edges,Frames,Keyframes,KF_Ratio,Score_Mean,Score_Median,Score_Min,Score_Max,Unique_Screens,Candidate_Paths,Traces_Found,LCS,Trace_Length,Total_Time_s
AdAway,utg01,SRV,True,2.96,20,20,50,772,3,257.33,0.3823,0.41,0.323,0.414,3,2,1,2,9,110.33
AdAway,utg01,HHV,True,13.94,20,20,50,1331,39,34.13,0.2975,0.29,0.258,0.37,1,2,1,1,4,214.8
AdAway,utg02,SRV,True,2.96,5,4,5,772,3,257.33,0.2793,0.283,0.223,0.332,2,1,1,1,2,78.17
AdAway,utg02,HHV,True,14.19,5,4,5,1331,39,34.13,0.2857,0.276,0.251,0.351,1,1,1,1,3,180.89
AdAway,utg03,SRV,True,2.96,5,4,5,772,3,257.33,0.2793,0.283,0.223,0.332,2,1,1,1,2,78.12
AdAway,utg03,HHV,True,13.94,5,4,5,1331,39,34.13,0.2862,0.28,0.251,0.352,1,1,1,1,3,190.41
AntennaPod,utg01,SRV,True,5.08,97,96,217,583,9,64.78,0.4638,0.43,0.179,0.67,7,208,1,3,11,150.44
AntennaPod,utg01,HHV,True,12.82,97,96,217,2025,10,202.5,0.3166,0.3175,0.301,0.331,1,62,1,1,11,383.25
AntennaPod,utg02,SRV,True,5.08,152,151,403,583,9,64.78,0.4628,0.425,0.224,0.67,7,850306,1,4,10,562.53
AntennaPod,utg02,HHV,True,12.82,152,151,403,2025,10,202.5,0.3163,0.317,0.301,0.331,1,257,1,1,4,591.5
AntennaPod,utg03,SRV,True,5.08,85,84,214,583,9,64.78,0.4732,0.425,0.224,0.67,5,0,,,,375.03
AntennaPod,utg03,HHV,True,12.82,85,84,214,2025,10,202.5,0.3332,0.3355,0.322,0.341,1,0,,,,27516.53
HomeMedkit,utg01,SRV,True,7.15,49,49,127,777,8,97.12,0.4529,0.4895,0.164,0.553,4,1,1,1,2,115.14
HomeMedkit,utg01,HHV,True,14.67,49,49,127,1359,54,25.17,0.2928,0.2935,0.255,0.321,1,1,1,1,3,409.47
HomeMedkit,utg02,SRV,True,7.15,81,80,298,777,8,97.12,0.4191,0.438,0.275,0.486,5,52482,1,3,15,147.91
HomeMedkit,utg02,HHV,True,14.67,81,80,298,1359,54,25.17,0.2996,0.3,0.262,0.33,1,52482,1,1,5,600.49
HomeMedkit,utg03,SRV,True,7.15,53,52,210,777,8,97.12,0.4271,0.4385,0.339,0.485,7,9995,2,3,8,279.7
HomeMedkit,utg03,HHV,True,14.67,53,52,210,1359,54,25.17,0.3193,0.3165,0.284,0.352,2,41031,1,1,4,2588.57
Jigsaw,utg01,SRV,True,2.34,2,2,3,1025,6,170.83,0.2778,0.2825,0.12,0.428,1,1,1,1,2,109.23
Jigsaw,utg01,HHV,True,5.59,2,2,3,563,16,35.19,0.2653,0.2615,0.257,0.277,1,1,1,1,2,56.77
Jigsaw,utg02,SRV,True,2.34,3,2,2,1025,6,170.83,0.2682,0.2085,0.14,0.477,1,0,,,,113.59
Jigsaw,utg02,HHV,True,5.59,3,2,2,563,16,35.19,0.2199,0.22,0.209,0.225,1,0,,,,78.41
Jigsaw,utg03,SRV,True,2.34,3,2,2,1025,6,170.83,0.367,0.39,0.224,0.428,2,0,,,,97.76
Jigsaw,utg03,HHV,True,5.59,3,2,2,563,16,35.19,0.2652,0.2615,0.257,0.277,1,0,,,,63.93
LuxAlarm,utg01,SRV,True,6.38,96,96,298,714,8,89.25,0.383,0.4545,0.147,0.618,4,602,1,3,13,165.41
LuxAlarm,utg01,HHV,True,7.5,96,96,298,818,11,74.36,0.2725,0.27,0.262,0.286,2,1,1,1,2,195.2
LuxAlarm,utg02,SRV,False,6.38,26,,,714,,,,,,,0,,,,,
LuxAlarm,utg02,HHV,False,7.5,26,25,331,818,11,74.36,0.3168,0.312,0.306,0.342,1,,,,,
LuxAlarm,utg03,SRV,False,6.38,23,22,273,714,8,89.25,0.4088,0.4545,0.223,0.616,3,,,,,
LuxAlarm,utg03,HHV,True,7.5,23,22,273,818,11,74.36,0.3168,0.312,0.306,0.342,1,205563556,3,1,4,18901.01
PortAuthority,utg01,SRV,True,9.75,42,41,206,3050,7,435.71,0.394,0.396,0.214,0.586,3,553,1,2,11,517.52
PortAuthority,utg01,HHV,True,11.47,42,41,206,882,22,40.09,0.2118,0.2145,0.184,0.242,2,1076,4,1,9,183.47
PortAuthority,utg02,SRV,True,9.75,89,88,254,3050,7,435.71,0.3969,0.396,0.223,0.562,4,27134,4,2,10,431.38
PortAuthority,utg02,HHV,True,11.47,89,88,254,882,22,40.09,0.2415,0.2405,0.199,0.3,1,2,1,1,5,415.63
PortAuthority,utg03,SRV,True,9.75,63,62,154,3050,7,435.71,0.4203,0.449,0.223,0.562,4,74,2,3,11,482.65
PortAuthority,utg03,HHV,True,11.47,63,62,154,882,22,40.09,0.2506,0.247,0.225,0.3,2,2,1,1,5,581.89
SimpleNotes,utg01,SRV,True,4.07,48,48,190,473,7,67.57,0.4443,0.487,0.223,0.569,4,2,1,1,2,80.37
SimpleNotes,utg01,HHV,True,12.39,48,48,190,1256,35,35.89,0.2677,0.264,0.241,0.294,1,2,1,1,2,299.32
SimpleNotes,utg02,SRV,True,4.07,35,34,297,473,7,67.57,0.4534,0.493,0.223,0.58,3,130,1,2,3,77.36
SimpleNotes,utg02,HHV,True,12.39,35,34,297,1256,35,35.89,0.2953,0.289,0.271,0.324,1,1428700,1,1,5,491.15
SimpleNotes,utg03,SRV,True,4.07,38,37,168,473,7,67.57,0.4551,0.499,0.223,0.587,3,6,1,1,3,104.28
SimpleNotes,utg03,HHV,True,12.39,38,37,168,1256,35,35.89,0.2967,0.293,0.271,0.324,2,8,1,1,4,410.21
WifiAnalyzer,utg01,SRV,True,8.93,48,48,135,877,16,54.81,0.403,0.3685,0.272,0.63,11,1,1,2,4,181.39
WifiAnalyzer,utg01,HHV,True,8.68,48,48,135,1191,15,79.4,0.2501,0.241,0.222,0.31,2,268,1,2,14,195.19
