App,UTG,Type,Step1_s,Step2_s,Step3_s,Step4_s,Total_s
AdAway,utg01,SRV,101.87,8.45,0.0,0.0,110.33
AdAway,utg01,HHV,135.64,79.16,0.0,0.0,214.8
AdAway,utg02,SRV,76.16,1.91,0.0,0.0,78.17
AdAway,utg02,HHV,160.15,20.73,0.01,0.0,180.89
AdAway,utg03,SRV,75.77,2.24,0.0,0.0,78.12
AdAway,utg03,HHV,158.47,27.28,0.0,0.01,190.41
AntennaPod,utg01,SRV,57.71,92.67,0.05,0.0,150.44
AntennaPod,utg01,HHV,274.53,108.67,0.04,0.01,383.25
AntennaPod,utg02,SRV,56.94,145.21,360.09,0.0,562.53
AntennaPod,utg02,HHV,219.88,157.78,213.83,0.0,591.5
AntennaPod,utg03,SRV,57.82,316.64,0.19,0.0,375.03
AntennaPod,utg03,HHV,263.64,27251.25,0.2,0.0,27516.53
HomeMedkit,utg01,SRV,74.62,40.52,0.0,0.0,115.14
HomeMedkit,utg01,HHV,141.84,263.26,0.0,0.0,409.47
HomeMedkit,utg02,SRV,74.74,65.8,7.15,0.0,147.91
HomeMedkit,utg02,HHV,132.45,425.44,42.6,0.0,600.49
HomeMedkit,utg03,SRV,81.59,197.31,0.57,0.0,279.7
HomeMedkit,utg03,HHV,789.18,1779.08,13.22,0.01,2588.57
Jigsaw,utg01,SRV,107.99,1.23,0.0,0.0,109.23
Jigsaw,utg01,HHV,54.4,2.37,0.0,0.0,56.77
Jigsaw,utg02,SRV,111.74,1.84,0.0,0.0,113.59
Jigsaw,utg02,HHV,72.88,5.53,0.0,0.0,78.41
Jigsaw,utg03,SRV,95.93,1.68,0.0,0.0,97.76
Jigsaw,utg03,HHV,57.46,5.01,0.0,0.0,63.93
LuxAlarm,utg01,SRV,76.48,88.83,0.1,0.0,165.41
LuxAlarm,utg01,HHV,83.11,112.09,0.0,0.0,195.2
LuxAlarm,utg02,SRV,,,,,
LuxAlarm,utg02,HHV,87.02,30.29,,,
LuxAlarm,utg03,SRV,67.55,73.25,,,
LuxAlarm,utg03,HHV,79.72,77.31,18743.12,0.05,18901.01
PortAuthority,utg01,SRV,472.97,44.5,0.04,0.01,517.52
PortAuthority,utg01,HHV,89.07,94.28,0.13,0.0,183.47
PortAuthority,utg02,SRV,345.28,83.37,2.73,0.0,431.38
PortAuthority,utg02,HHV,124.04,291.11,0.46,0.01,415.63
PortAuthority,utg03,SRV,298.2,184.25,0.01,0.0,482.65
PortAuthority,utg03,HHV,85.67,494.54,0.0,0.0,581.89
SimpleNotes,utg01,SRV,44.57,35.65,0.0,0.0,80.37
SimpleNotes,utg01,HHV,127.78,171.54,0.0,0.0,299.32
SimpleNotes,utg02,SRV,50.94,26.41,0.01,0.0,77.36
SimpleNotes,utg02,HHV,121.44,120.56,246.58,0.0,491.15
SimpleNotes,utg03,SRV,44.59,59.53,0.0,0.0,104.28
SimpleNotes,utg03,HHV,123.23,284.42,0.0,0.0,410.21
WifiAnalyzer,utg01,SRV,91.88,89.51,0.01,0.0,181.39
WifiAnalyzer,utg01,HHV,120.59,74.56,0.04,0.0,195.19
WifiAnalyzer,utg02,SRV,96.65,98.34,120.92,0.01,315.92
WifiAnalyzer,utg02,HHV,175.2,95.73,162.44,0.1,433.48
WifiAnalyzer,utg03,SRV,83.2,143.78,0.06,0.0,227.49
WifiAnalyzer,utg03,HHV,115.73,127.97,0.01,0.0,244.9
