App,UTG,SRV_MB,HHV_MB,MB_Ratio_HHV_SRV,SRV_Frames,HHV_Frames,SRV_Keyframes,HHV_Keyframes,SRV_Score_Mean,HHV_Score_Mean,SRV_Trace_Length,HHV_Trace_Length,SRV_Time_s,HHV_Time_s
AdAway,utg01,2.96,13.94,4.71,772,1331,3,39,0.3823,0.2975,9,4,110.33,214.8
AdAway,utg02,,14.19,,,1331,,39,,0.2857,,3,,180.89
AdAway,utg03,2.96,,,772,,3,,0.2793,,2,,78.12,
AntennaPod,utg01,5.08,12.82,2.52,583,2025,9,10,0.4638,0.3166,11,11,150.44,383.25
AntennaPod,utg02,,12.82,,,2025,,10,,0.3163,,4,,591.5
AntennaPod,utg03,5.08,,,583,,9,,0.4732,,,,375.03,
HomeMedkit,utg01,7.15,14.67,2.05,777,1359,8,54,0.4529,0.2928,2,3,115.14,409.47
HomeMedkit,utg02,,14.67,,,1359,,54,,0.2996,,5,,600.49
HomeMedkit,utg03,7.15,,,777,,8,,0.4271,,8,,279.7,
Jigsaw,utg01,2.34,5.59,2.39,1025,563,6,16,0.2778,0.2653,2,2,109.23,56.77
Jigsaw,utg02,2.34,5.59,2.39,1025,563,6,16,0.2682,0.2199,,,113.59,78.41
LuxAlarm,utg01,6.38,7.5,1.18,714,818,8,11,0.383,0.2725,13,2,165.41,195.2
PortAuthority,utg01,9.75,11.47,1.18,3050,882,7,22,0.394,0.2118,11,9,517.52,183.47
PortAuthority,utg02,9.75,11.47,1.18,3050,882,7,22,0.3969,0.2415,10,5,431.38,415.63
PortAuthority,utg03,9.75,,,3050,,7,,0.4203,,11,,482.65,
SimpleNotes,utg01,,12.39,,,1256,,35,,0.2677,,2,,299.32
SimpleNotes,utg02,4.07,,,473,,7,,0.4534,,3,,77.36,
SimpleNotes,utg03,4.07,,,473,,7,,0.4551,,3,,104.28,
WifiAnalyzer,utg01,8.93,8.68,0.97,877,1191,16,15,0.403,0.2501,4,14,181.39,195.19
WifiAnalyzer,utg02,8.93,8.68,0.97,877,1191,16,15,0.4024,0.3142,15,8,315.92,433.48
WifiAnalyzer,utg03,8.93,,,877,,16,,0.398,,9,,227.49,
