App,UTG,Type,Replay_Traces,Actions_Trace0,Action_Types
AdAway,utg01,SRV,1,8,LAUNCH|TAP|TYPE_TEXT
AdAway,utg01,HHV,1,3,LAUNCH|TAP
AdAway,utg02,HHV,1,2,LAUNCH|TAP
AdAway,utg03,SRV,1,1,LAUNCH
AntennaPod,utg01,SRV,1,10,LAUNCH|SWIPE|TAP
AntennaPod,utg01,HHV,1,10,LAUNCH|SWIPE|TAP
AntennaPod,utg02,HHV,1,3,LAUNCH|TAP
AntennaPod,utg03,SRV,0,0,
HomeMedkit,utg01,SRV,1,1,LAUNCH
HomeMedkit,utg01,HHV,1,2,LAUNCH|TAP
HomeMedkit,utg02,HHV,1,4,LAUNCH|TAP
HomeMedkit,utg03,SRV,2,7,LAUNCH|SWIPE|TAP
Jigsaw,utg01,SRV,1,1,LAUNCH
Jigsaw,utg01,HHV,1,1,LAUNCH
Jigsaw,utg02,SRV,0,0,
Jigsaw,utg02,HHV,0,0,
LuxAlarm,utg01,SRV,1,12,LAUNCH|TAP
LuxAlarm,utg01,HHV,1,1,LAUNCH
PortAuthority,utg01,SRV,1,10,LAUNCH|LONG_PRESS|TAP
PortAuthority,utg01,HHV,4,8,LAUNCH|LONG_PRESS|TAP
PortAuthority,utg02,SRV,4,9,LAUNCH|TAP
PortAuthority,utg02,HHV,1,4,LAUNCH|LONG_PRESS|TAP
PortAuthority,utg03,SRV,2,10,LAUNCH|LONG_PRESS|TAP
SimpleNotes,utg01,HHV,1,1,LAUNCH
SimpleNotes,utg02,SRV,1,2,LAUNCH|TAP
SimpleNotes,utg03,SRV,1,2,LAUNCH|TAP
WifiAnalyzer,utg01,SRV,1,3,LAUNCH|TAP
WifiAnalyzer,utg01,HHV,1,13,LAUNCH|TAP
WifiAnalyzer,utg02,SRV,2,14,LAUNCH|LONG_PRESS|TAP
WifiAnalyzer,utg02,HHV,2,7,LAUNCH|LONG_PRESS|TAP
WifiAnalyzer,utg03,SRV,3,8,LAUNCH|TAP
