Metric,Type,Mean,Median,Min,Max
Total_Time_s,SRV,218.26,149.175,77.36,562.53
Total_Time_s,HHV,2401.151,383.25,56.77,27516.53
Keyframes,SRV,8,7,3,16
Keyframes,HHV,25.25,19.0,10,54
Frames,SRV,1033.875,774.5,473,3050
Frames,HHV,1178.125,1223.5,563,2025
Score_Mean,SRV,0.396,0.403,0.268,0.473
Score_Mean,HHV,0.286,0.294,0.212,0.333
Trace_Length,SRV,7.474,9,2,15
Trace_Length,HHV,5.105,4,2,14
LCS,SRV,2.316,2,1,6
LCS,HHV,1.053,1,1,2
Candidate_Paths,SRV,78082.409,40.0,0,850306
Candidate_Paths,HHV,9044038.826,2,0,205563556
Confidence_Score_Pooled,SRV,0.4067,0.4125,0.12,0.67
Confidence_Score_Pooled,HHV,0.2865,0.289,0.184,0.37
