2026-04-01 01:35:03 | INFO | === gifdroid_llm.2026-04-01T05-35-03__run-003__pipeline__started ===
2026-04-01 01:35:03 | INFO | Starting gifdroid_llm pipeline
2026-04-01 01:35:03 | INFO | Resolved video path: /Users/tanmaybhuskute/Documents/gifdroid-reproduction/apps/adaway/videos/screenrec/srv-001.mp4
2026-04-01 01:35:03 | INFO | Environment validated for llm=llama model=llama3.2-vision
2026-04-01 01:35:03 | INFO | Running llama prerequisite check before trace generation | timeout=unlimited
2026-04-01 01:35:10 | INFO | Starting frame extraction | native_fps=25.935 target_fps=1.500 stride=17 total_frames=772
2026-04-01 01:35:11 | INFO | Frame extraction complete | sampled_frames=46
2026-04-01 01:35:11 | INFO | Keyframe selection complete | method=llm_assisted threshold=4.514 selected=8 sampled=46
2026-04-01 01:35:11 | INFO | Sending Llama inference request | model=llama3.2-vision | keyframes=8
2026-04-01 01:35:11 | INFO | Llama inference timeout | timeout_sec=unlimited
2026-04-01 01:35:11 | INFO | Llama API request sent | kind=action_inference | model=llama3.2-vision | endpoint=http://localhost:11434/v1/chat/completions | waiting for response
2026-04-01 01:37:11 | INFO | Llama still processing | kind=action_inference | elapsed_sec=120 | tokens_so_far=0
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content='Here'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=3 | content=' is'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content=' the'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=12 | content=' description'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=3 | content=' of'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content=' the'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=8 | content=' Android'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content=' app'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=10 | content=' recording'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=3 | content=' in'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content=' the'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=7 | content=' format'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=4 | content=' you'
2026-04-01 01:37:29 | DEBUG | Llama token chunk | chars=10 | content=' requested'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=3 | content=':\n\n'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=1 | content='['
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=5 | content='Start'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=3 | content=' of'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=5 | content=' JSON'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=6 | content=' array'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=2 | content=']\n'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=2 | content='[\n'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=3 | content=' {\n'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:30 | DEBUG | Llama token chunk | chars=6 | content='screen'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=12 | content='_description'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=4 | content=' and'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=7 | content=' status'
2026-04-01 01:37:31 | DEBUG | Llama token chunk | chars=9 | content=' disabled'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=6 | content='action'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=5 | content='_type'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=6 | content='launch'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=6 | content='target'
2026-04-01 01:37:32 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=3 | content='app'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=6 | content='_entry'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=5 | content='point'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=7 | content='details'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=3 | content='App'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=9 | content=' launched'
2026-04-01 01:37:33 | DEBUG | Llama token chunk | chars=4 | content=' and'
