App,UTG,hhv_in,srv_in,Artifacts,utg_json,hhv_out,srv_out,GIF,hhv_KF,hhv_trace,hhv_time,hhv_status,srv_KF,srv_trace,srv_time,srv_status
AdAway,utg01 (5m),Y,Y,20,Y,Y,Y,Y,39,4,214.80s,OK,3,9,110.33s,OK
AdAway,utg02 (20m),Y,Y,5,Y,Y,Y,-,39,3,180.89s,OK,n/a,n/a,n/a,SKIP
AntennaPod,utg01 (5m),Y,Y,97,Y,Y,Y,Y,10,11,383.25s,OK,9,11,150.44s,OK
AntennaPod,utg02 (20m),Y,Y,152,Y,Y,Y,-,10,4,591.50s,OK,n/a,n/a,n/a,SKIP
HomeMedkit,utg01 (5m),Y,Y,49,Y,Y,Y,Y,54,3,396.76s,OK,8,2,115.14s,OK
HomeMedkit,utg02 (20m),Y,Y,81,Y,Y,Y,-,54,5,600.49s,OK,n/a,n/a,n/a,SKIP
Jigsaw,utg01 (5m),Y,Y,2,Y,Y,Y,Y,16,2,56.77s,OK,6,2,109.23s,OK
Jigsaw,utg02 (20m),Y,Y,3,Y,Y,Y,-,16,?,78.41s,OK,6,?,113.59s,OK
LuxAlarm,utg01 (5m),Y,Y,96,Y,Y,Y,Y,11,2,195.20s,OK,8,13,165.41s,OK
LuxAlarm,utg02 (20m),Y,Y,26,Y,-,-,-,n/a,n/a,n/a,n/a,8,?,?,FAIL
PortAuthority,utg01 (5m),Y,Y,42,Y,Y,Y,Y,22,9,183.47s,OK,7,11,517.52s,OK
PortAuthority,utg02 (20m),Y,Y,89,Y,Y,Y,-,22,5,415.63s,OK,7,10,431.38s,OK
SimpleNotes,utg01 (5m),Y,-,48,Y,Y,-,Y,35,2,299.32s,OK,n/a,n/a,n/a,n/a
SimpleNotes,utg02 (20m),Y,Y,35,Y,-,Y,-,n/a,n/a,n/a,n/a,7,3,77.36s,OK
WifiAnalyzer,utg01 (5m),Y,Y,48,Y,Y,Y,Y,15,14,195.19s,OK,16,4,181.39s,OK
WifiAnalyzer,utg02 (20m),Y,Y,51,Y,Y,Y,-,15,8,433.48s,OK,16,15,315.92s,OK
